id;hoehe;breite;laenge;ort
374;4154;345;51.18;7.2505;Remscheid-Lennep
375;4160;478;48.7425;8.924;Renningen-Ihinger Hof
376;4169;131;48.6703;7.9939;Rheinau-Memprechtshofen
377;4174;40;52.2887;7.3866;Rheine-Bentlage
378;4175;282;47.559;7.7721;Rheinfelden
379;4177;116.1;48.9726;8.3301;Rheinstetten
380;4189;533;48.1479;9.4596;Altheim, Kreis Biberach
381;4261;444;47.8754;12.128;Rosenheim
382;4271;4;54.1803;12.0808;Rostock-Warnemünde
383;4275;32;53.1288;9.3398;Rotenburg (Wümme)
384;4280;385;49.2164;11.1036;Roth
385;4287;415;49.3848;10.1732;Rothenburg ob der Tauber
386;4288;95;52.1039;8.1809;Rothenfelde, Bad
387;4294;360;48.4704;8.9687;Rottenburg-Kiebingen
388;4300;588;48.1814;8.6356;Rottweil
389;4301;102;49.8502;7.871;Kreuznach, Bad
390;4323;461;49.6467;7.8835;Ruppertsecken
391;4336;320;49.2128;7.1077;Saarbrücken-Ensheim
392;4349;248;48.9569;9.071;Sachsenheim
393;4354;456;48.7832;13.3146;Saldenburg-Entschenreuth
394;4367;175;52.0781;9.552;Salzhemmendorf-Lauenstein
395;4371;134.6;52.1042;8.7521;Salzuflen, Bad
396;4373;23;52.8568;11.143;Salzwedel
397;4377;510;50.3519;10.0032;Sandberg
398;4393;5;54.3279;8.603;Sankt Peter-Ording
399;4411;155;49.9195;8.9671;Schaafheim-Schlierbach
400;4419;212;47.9556;7.7134;Schallstadt-Mengen
401;4445;609;51.7658;10.6533;Wernigerode-Schierke
402;4464;501;50.5679;11.8041;Schleiz
403;4466;42.5;54.5275;9.5486;Schleswig
404;4480;230;50.3447;9.5534;Schlüchtern-Herolz
405;4485;296;50.725;10.4539;Schmalkalden, Kurort
406;4490;223;49.422;6.8396;Schmelz-Hüttersdorf
407;4501;937;50.6546;10.7693;Schmücke
408;4508;649;50.2968;6.4194;Schneifelforsthaus
409;4548;609;50.2046;12.1435;Selb/Oberfranken-Lauterbach
410;4557;400;47.6463;7.8439;Schopfheim-Eichen
411;4559;399;49.1646;12.6176;Schorndorf-Knöbling
412;4560;265;50.4925;9.1226;Schotten
413;4582;349;49.0817;9.6868;Schwäbisch Hall-Bibersfeld
414;4592;356;49.3278;12.0871;Schwandorf
415;4605;277;50.644;11.1937;Schwarzburg
416;4625;59;53.6425;11.3872;Schwerin
417;4642;21;52.8911;11.7297;Seehausen
418;4651;186;51.904;10.1885;Seesen
419;4692;229;50.8534;7.9966;Siegen (Kläranlage)
420;4703;580;48.0719;9.1942;Sigmaringen-Laiz
421;4704;507;47.5776;9.7404;Sigmarszell-Zeisertsweiler
422;4706;360;48.2719;13.0273;Simbach/Inn
423;4709;445;49.9996;7.5981;Simmern-Wahlbach
424;4741;154;51.14;7.093;Solingen-Hohenscheid
425;4745;75.6;52.9604;9.7931;Soltau
426;4748;223;51.3572;10.8851;Sondershausen
427;4763;265;51.0607;9.9266;Sontra
428;4765;199;51.2801;9.9849;Sooden-Allendorf, Bad
429;4818;598;50.1531;11.7403;Stammbach-Querenbach
430;4841;1;53.6946;8.8735;Steinau, Kr. Cuxhaven
431;4857;1;53.5527;9.6094;Mittelnkirchen-Hohenfelde
432;4878;494;51.6681;10.8823;Oberharz am Brocken-Stiege
433;4881;532;47.8591;9.0152;Stockach
434;4887;733.8;48.6657;9.8646;Stötten
435;4896;40;54.6654;9.805;Wagersrott
436;4911;350;48.8275;12.5598;Straubing
437;4926;224;48.7896;9.2167;Stuttgart (Neckartal)
438;4928;314.3;48.8282;9.2;Stuttgart (Schnarrenberg)
439;4931;371;48.6883;9.2235;Stuttgart-Echterdingen
440;4978;395;50.639;10.0228;Tann/Rhön
441;4997;193;50.9777;12.3432;Starkenberg-Tegkwitz
442;5009;38;53.761;12.5574;Teterow
443;5014;7;53.2758;8.9857;Worpswede-Hüttenbusch
444;5017;633;50.4002;11.3889;Teuschnitz
445;5029;385.9;49.4738;7.0386;Tholey
446;5032;195;49.885;9.8463;Thüngersheim
447;5046;500;49.8576;12.3542;Tirschenreuth-Lodermühl
448;5064;37;51.2897;6.4437;Tönisvorst
449;5097;10;54.0661;12.7675;Tribsees
450;5099;131.5;49.7326;6.6131;Trier-Zewen
451;5100;265;49.7479;6.6582;Trier-Petrisberg
452;5107;769;48.2814;9.3137;Trochtelfingen-Wilsingen
453;5109;69;53.5997;13.3039;Trollenhagen
454;5111;559;48.0311;12.5396;Trostberg
455;5127;649;48.0083;8.8179;Tuttlingen
456;5133;295;51.3344;8.9132;Twistetal-Mühlhausen
457;5142;1.2;53.7444;14.0697;Ueckermünde
