id,datum_anfang,datum_ende,luft_max,luft,luft_min,windstaerke,sonnenschein,niederschlag,max_max_luft,min_min_luft,max_windspitze,max_niederschlag
1580,2015-08-01,2015-08-31,27.9,21.5,15.7,-999,223,31.3,38.2,10.9,17.3,6.2
3730,2015-06-01,2015-06-30,21.7,15.7,9.5,1.97,189.2,172,30.1,4.9,15.2,47.4
3730,2015-07-01,2015-07-31,26.7,19.2,11.8,2,249.7,63.9,35.6,4.7,21.2,19.5
3730,2015-08-01,2015-08-31,25,17.6,10.7,1.94,216,168.2,32.2,4.5,13.8,38.6
1411,2015-06-01,2015-06-30,18.1,13.5,8.9,-999,-999,62.7,26.7,3.6,-999,22.1
1411,2015-07-01,2015-07-31,22.3,17.4,12.6,-999,-999,98.7,32.8,4.3,-999,25.9
1411,2015-08-01,2015-08-31,23.2,18.2,13.2,-999,-999,74.5,33,7.6,-999,25.5
445,2015-06-01,2015-06-30,23.2,16.6,10.3,-999,216.9,34.6,30.6,5.5,-999,20.9
445,2015-07-01,2015-07-31,27.1,20.2,13.7,-999,255.5,85.7,38.6,7.5,-999,22.1
445,2015-08-01,2015-08-31,28.7,21.3,14.8,-999,266.5,118.7,36.7,7,-999,28.7
2794,2015-06-01,2015-06-30,21.8,15.8,9.2,2.33,205.4,21.8,30,1.5,15.9,4.3
2794,2015-07-01,2015-07-31,25,18.8,12.3,2.74,233.1,73.3,37.8,5.4,24,21.1
2794,2015-08-01,2015-08-31,27.4,20.5,13.6,2.42,269.1,116.4,34.9,5.4,18.8,50.1
4032,2015-06-01,2015-06-30,21.6,16.2,10.2,2.1,198.5,23.2,31.2,5.6,15,12.8
4032,2015-07-01,2015-07-31,25.7,19.8,14.1,2.16,251.5,90.5,38.2,7.8,23.9,40.8
4032,2015-08-01,2015-08-31,27.1,20.6,14.3,1.84,264.1,167.5,34.8,7,15.7,59
4501,2015-06-01,2015-06-30,16.1,11.9,8,3.1,188.2,70.4,25.2,3.1,23.1,15.5
4501,2015-07-01,2015-07-31,20.3,15.9,11.6,2.97,230.9,135.3,31.2,3.6,29.5,35.7
4501,2015-08-01,2015-08-31,21.6,17.1,12.9,2.81,245.7,78.2,31.3,7.9,23.5,22.2
1303,2015-06-01,2015-06-30,20.7,16.2,11.2,2.37,227.2,57.6,31.1,6.8,15.2,20.1
1303,2015-07-01,2015-07-31,24,19.2,14.4,2.48,214.1,71.9,36.1,7.3,19.7,15.7
1303,2015-08-01,2015-08-31,24.4,19.5,14.8,2.23,228.6,170.8,32.5,10.5,17.1,30
5146,2015-06-01,2015-06-30,20.8,15.2,8.7,-999,201.8,21,28.7,3.2,-999,5.6
5146,2015-07-01,2015-07-31,23.8,17.9,12,-999,208.5,98.5,36.5,6.6,-999,16.6
5146,2015-08-01,2015-08-31,25.6,19.1,12.8,-999,214.2,114.1,33.2,5.7,-999,27.8
1270,2015-06-01,2015-06-30,20.6,15.7,10.5,2.53,197.8,33.5,30.3,5.3,17,11.5
1270,2015-07-01,2015-07-31,25.1,19.6,13.9,2.84,246.2,63.5,36.2,5.7,33.3,16.1
1270,2015-08-01,2015-08-31,26,20.4,14.4,2.29,246,45.2,34.1,8.5,17,13.2
1602,2015-06-01,2015-06-30,24.7,18.6,12.7,-999,-999,69.6,34.5,8.3,-999,30.6
1602,2015-07-01,2015-07-31,30.1,23,16.2,-999,-999,28.8,38.6,7.9,-999,7.9
1602,2015-08-01,2015-08-31,29.1,21.9,15.6,-999,-999,26.7,38.7,9.7,-999,7.5
4703,2015-06-01,2015-06-30,22.8,16.3,9.7,-999,-999,95.8,31,5.5,-999,42.8
